back-squat	back squat
kettlebell-backward-lunge	kettlebell backward lunge
bodyweight-backwar-lunge	bodyweight backwar lunge
bench-press-machine	bench press machine
barbell-jm-press	barbell jm press
smith-machine-jm-press	smith machine jm press
standing-hamstring-curl-machine	standing hamstring curl machine
glute-ham-raise	glute ham raise
incline-barbell-front-raise	incline barbell front raise
incline-ez-bar-front-raise	incline ez bar front raise
incline-dumbbell-front-raise	incline dumbbell front raise
barbell-incline-front-raise	barbell incline front raise
ez-bar-incline-front-raise	ez bar incline front raise
dumbbell-incline-front-raise	dumbbell incline front raise
ez-bar-reverse-curl	ez bar reverse curl
plate-front-raise-with-rotation	plate front raise with rotation
decline-push-ups	decline push ups
reverse-grip-push-ups	reverse-grip push ups
parallel-grip-pull-up	parallel-grip pull up
parallel-grip-weighted-pull-up	parallel-grip weighted pull up
ez-bar-tricep-extension	ez bar tricep extension
seated-dumbbell-lateral-raise	seated dumbbell lateral raise
close-grip-smith-machine-bench-press	close-grip smith machine bench press
ez-bar-behind-back-wrist-curl	ez bar behind back wrist curl
one-arm-dumbbell-wrist-curl	one arm dumbbell wrist curl
one-arm-cable-fly	one arm cable fly
cable-bench-press	cable bench press
one-arm-push-ups	one arm push ups
one-arm-pull-up	one arm pull up
stand-to-stand-bridge	stand to stand bridge
full-back-bridge	full back bridge
smith-machine-bulgarian-split-squat	smith machine bulgarian split squat
alternating-dumbbell-bench-press	alternating dumbbell bench press
belt-squat-machine	belt squat machine
safety-bar-squat	safety bar squat
incline-dumbbell-pull-over	incline dumbbell pull over
dumbbell-lying-tricep-extension	dumbbell lying tricep extension
ez-bar-lying-tricep-extension	ez bar lying tricep extension
feet-up-bench-press	feet up bench press
ab-coaster-machine	ab coaster machine
one-arm-cable-lat-pulldown	one arm cable lat pulldown
reverse-grip-bench-press	reverse-grip bench press
incline-dumbbell-hammer-curl	incline dumbbell hammer curl
lying-cable-pull-over	lying cable pull over
smith-machine-upright-row	smith machine upright row
smith-machine-hip-thrust	smith machine hip thrust
smith-machine-behind-neck-press	smith machine behind neck press
pause-bench-press	pause bench press
standing-lateral-raise-machine	standing lateral raise machine
dumbbell-skull-crusher	dumbbell skull crusher
seated-barbell-tricep-extension	seated barbell tricep extension
donkey-calf-raise	donkey calf raise
standing-cable-row	standing cable row
trap-bar-row	trap bar row
trap-bar-squat	trap bar squat
trap-bar-overhead-press	trap bar overhead press
bicep-curl-machine	bicep curl machine
chest-fly-machine	chest fly machine
dy-row-machine	dy row machine
dumbbell-front-squat	dumbbell front squat
plank-twist	plank twist
behind-back-wrist-curl	behind back wrist curl
tricep-press-machine	tricep press machine
inner-chest-press-machine	inner chest press machine
knee-push-ups	knee push ups
one-arm-kettlebell-row	one arm kettlebell row
high-pulley-cable-row	high pulley cable row
bosu-single-leg-deadlift	bosu single leg deadlift
bosu-dumbbell-single-leg-deadlift	bosu dumbbell single leg deadlift
leverage-squat-machine	leverage squat machine
fire-hydrant	fire hydrant
wide-air-squat	wide air squat
one-arm-dumbbell-curl	one arm dumbbell curl
one-arm-dumbbell-hammer-curl	one arm dumbbell hammer curl
yoga	yoga
reverse-ez-bar-wrist-curl	reverse ez bar wrist curl
pseudo-planche-push-ups	pseudo planche push ups
standing-hip-abduction	standing hip abduction
one-arm-face-pull	one arm face pull
rotary-calf-machine	rotary calf machine
ski-ergometer	ski ergometer
kick-boxing	kick boxing
barbell-incline-rear-delt-row	barbell incline rear delt row
high-pulley-one-arm-cable-row	high pulley one arm cable row
low-pulley-one-arm-cable-row	low pulley one arm cable row
kettlebell-single-leg-deadlift	kettlebell single leg deadlift
mike-tyson-push-ups	mike tyson push ups
one-arm-kettlebell-swing	one arm kettlebell swing
low-pulley-cable-rope-row	low pulley cable rope row
seated-cable-rear-lateral-raise	seated cable rear lateral raise
cable-rear-lateral-raise	cable rear lateral raise
bird-dog	bird dog
dumbbell-wrist-supination	dumbbell wrist supination
dumbbell-wrist-radial-flexion	dumbbell wrist radial flexion
chest-supported-t-bar-row	chest supported t-bar row
